Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-08-19 00:00:00-04:00,2.4875840518264756,2.5885794726087816,2.3870849032398915,2.4960412979125977,893181924,0.0,0.0
2004-08-20 00:00:00-04:00,2.5127084001322957,2.7134564310410814,2.5000214643380914,2.6943013668060303,456686856,0.0,0.0
2004-08-23 00:00:00-04:00,2.7549994567206504,2.822910065848003,2.7127101444585127,2.721416711807251,365122512,0.0,0.0
2004-08-24 00:00:00-04:00,2.7671880677899754,2.7761434817264847,2.5763903751981405,2.6087284088134766,304946748,0.0,0.0
2004-08-25 00:00:00-04:00,2.6109680592123055,2.6865905547937934,2.5841022911227562,2.636838912963867,183772044,0.0,0.0
2004-08-26 00:00:00-04:00,2.6107183046228366,2.6853458802489496,2.603504583722365,2.6843507289886475,141897960,0.0,0.0
2004-08-27 00:00:00-04:00,2.6890778079817834,2.702013354339134,2.629127460141643,2.6405696868896484,124235640,0.0,0.0
2004-08-30 00:00:00-04:00,2.618928389421838,2.6241520453267726,2.5375843048095703,2.5375843048095703,103935960,0.0,0.0
2004-08-31 00:00:00-04:00,2.544798089383923,2.579872732023943,2.5413158890250633,2.546539545059204,98357544,0.0,0.0
2004-09-01 00:00:00-04:00,2.554748036035192,2.5614647736385083,2.479374158008806,2.493802547454834,182765052,0.0,0.0
2004-09-02 00:00:00-04:00,2.4674341008816114,2.5465395105621207,2.461215293546235,2.525146007537842,302373324,0.0,0.0
2004-09-03 00:00:00-04:00,2.5112156433261004,2.5308676914500796,2.470667785563511,2.48783278465271,103048848,0.0,0.0
2004-09-07 00:00:00-04:00,2.5127083467772393,2.537335676563629,2.4778823153462435,2.5268874168395996,116950932,0.0,0.0
2004-09-08 00:00:00-04:00,2.505991968746884,2.56295734127296,2.5000217707575745,2.5447983741760254,99712188,0.0,0.0
2004-09-09 00:00:00-04:00,2.550519543333819,2.554996657846981,2.5124599225205655,2.545046329498291,81234684,0.0,0.0
2004-09-10 00:00:00-04:00,2.527385242122924,2.6507693109898547,2.5199219627783647,2.6201717853546143,173977848,0.0,0.0
2004-09-13 00:00:00-04:00,2.6525097872911663,2.696789398709943,2.648281283004338,2.674152135848999,156882960,0.0,0.0
2004-09-14 00:00:00-04:00,2.6729087815520587,2.7860939180729405,2.656490087536619,2.773406982421875,216579204,0.0,0.0
2004-09-15 00:00:00-04:00,2.7502725313632017,2.841566938095945,2.7413171177421396,2.7860937118530273,214261524,0.0,0.0
2004-09-16 00:00:00-04:00,2.7945513615402695,2.8806221251893938,2.777387310028147,2.835099220275879,185326488,0.0,0.0
2004-09-17 00:00:00-04:00,2.8462929779060286,2.9226620197296143,2.824651812160802,2.9226620197296143,189450360,0.0,0.0
2004-09-20 00:00:00-04:00,2.909229522257028,3.02490171322394,2.9047514594052477,2.969180107116699,212575212,0.0,0.0
2004-09-21 00:00:00-04:00,2.9803736892597232,2.9955486211612503,2.923159716743535,2.931368589401245,144575280,0.0,0.0
2004-09-22 00:00:00-04:00,2.9204230830592834,2.976891461807787,2.905746082448554,2.944800853729248,151624224,0.0,0.0
2004-09-23 00:00:00-04:00,2.9562442292157405,3.05052385373126,2.9109697035270363,3.0054988861083984,170713116,0.0,0.0
2004-09-24 00:00:00-04:00,3.0084839868585096,3.0870916997927424,2.979130221803742,2.9808716773986816,182469348,0.0,0.0
2004-09-27 00:00:00-04:00,2.9741550750924133,3.006991041846802,2.9303736280884056,2.9418160915374756,141322536,0.0,0.0
2004-09-28 00:00:00-04:00,3.0174391699221466,3.169181133307589,2.990323845714891,3.1557486057281494,338581080,0.0,0.0
2004-09-29 00:00:00-04:00,3.1517688582658727,3.3587356985300003,3.1400770737334502,3.2607245445251465,610329060,0.0,0.0
2004-09-30 00:00:00-04:00,3.2313712268223487,3.291073195129011,3.2089825739622246,3.223907947540283,275160564,0.0,0.0
2004-10-01 00:00:00-04:00,3.253759105725109,3.339331931541632,3.2064954596995032,3.2980384826660156,302497200,0.0,0.0
2004-10-04 00:00:00-04:00,3.3644571547472437,3.4047554518127487,3.334108238164263,3.3597304821014404,260455284,0.0,0.0
